checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
A14,16,A34,A43,2756,A63,A75,4,A93,A102,3,A124,56,A143,A152,3,A172,1,A191,A201,2
A12,55,A34,A42,2175,A63,A73,2,A91,A101,2,A124,30,A143,A153,2,A172,2,A191,A201,1
A14,13,A32,A43,4941,A61,A71,4,A92,A102,4,A122,62,A143,A152,1,A173,1,A192,A202,1
A12,38,A34,A45,3796,A61,A75,4,A92,A101,2,A124,56,A143,A153,1,A171,1,A191,A202,1
A14,20,A34,A43,5928,A65,A73,2,A91,A101,2,A124,42,A141,A152,1,A173,1,A191,A201,2
A13,42,A34,A43,2226,A65,A74,1,A92,A101,2,A123,31,A143,A151,2,A174,1,A191,A201,1
A14,22,A30,A42,338,A65,A74,4,A94,A103,1,A123,63,A143,A151,1,A173,2,A192,A201,1
A13,25,A34,A410,454,A64,A71,3,A94,A101,4,A123,51,A141,A152,2,A171,1,A192,A202,2
A12,5,A34,A41,3240,A61,A75,3,A92,A101,4,A122,31,A142,A152,2,A173,1,A191,A201,1
A11,15,A31,A48,2622,A65,A72,3,A93,A101,4,A122,22,A143,A152,1,A173,2,A191,A201,1
A12,18,A32,A410,9741,A62,A72,3,A94,A101,1,A122,44,A141,A153,1,A174,1,A191,A201,1
A11,20,A33,A45,8892,A61,A73,3,A93,A101,3,A123,28,A143,A153,3,A172,1,A191,A201,2
A14,25,A34,A41,3189,A61,A74,1,A93,A101,3,A123,65,A143,A152,1,A173,1,A192,A201,2
A13,25,A32,A410,4497,A63,A73,4,A93,A101,4,A124,26,A143,A152,1,A172,1,A191,A201,2
A14,19,A31,A44,3445,A61,A72,2,A93,A101,3,A121,41,A141,A152,1,A173,1,A191,A201,1
A11,20,A32,A41,1893,A63,A73,2,A93,A101,4,A122,30,A143,A153,2,A174,1,A192,A201,2
A12,19,A33,A43,1426,A61,A73,4,A93,A101,4,A124,58,A141,A153,2,A171,1,A192,A201,1
A11,59,A32,A42,8709,A61,A74,2,A94,A101,2,A123,34,A143,A152,1,A171,1,A192,A201,1
A14,24,A32,A40,4564,A61,A72,1,A91,A101,3,A124,33,A143,A153,2,A174,1,A191,A201,2
A13,13,A32,A49,2708,A62,A73,4,A94,A101,2,A121,30,A143,A152,1,A173,1,A191,A201,2
A11,15,A33,A49,4900,A61,A75,3,A92,A103,2,A124,49,A141,A152,1,A173,2,A192,A202,1
A11,27,A34,A48,3190,A61,A75,4,A92,A103,3,A124,27,A143,A152,3,A172,1,A191,A201,2
A12,45,A34,A45,4758,A63,A71,2,A93,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,2
A13,27,A34,A40,2442,A61,A74,3,A93,A101,4,A123,31,A142,A151,2,A173,1,A191,A201,1
A13,9,A32,A44,2410,A63,A73,2,A93,A101,2,A121,56,A143,A152,1,A174,1,A191,A202,1
A14,14,A34,A410,9132,A65,A75,1,A93,A101,2,A121,35,A143,A152,3,A173,1,A192,A201,1
A14,22,A32,A410,1881,A61,A71,1,A91,A101,4,A121,27,A143,A152,1,A171,1,A191,A202,2
A12,19,A33,A45,4812,A61,A72,4,A92,A101,4,A122,59,A142,A152,2,A174,1,A191,A201,1
A14,17,A32,A48,4136,A63,A73,1,A94,A101,4,A124,52,A143,A152,1,A172,1,A192,A201,2
A13,21,A32,A49,17228,A61,A75,4,A93,A102,4,A121,38,A143,A152,1,A173,1,A191,A201,1
A11,27,A34,A40,1450,A64,A75,1,A92,A101,4,A124,44,A143,A152,2,A173,1,A191,A201,1
A11,16,A34,A48,1777,A61,A74,1,A94,A101,4,A124,32,A142,A152,3,A172,1,A192,A201,2
A12,22,A30,A44,3501,A61,A74,2,A94,A101,2,A121,36,A143,A152,1,A171,1,A191,A201,2
A12,16,A34,A42,1013,A61,A74,4,A93,A101,2,A121,47,A143,A153,3,A174,1,A192,A201,2
A14,24,A34,A41,8491,A64,A75,4,A92,A101,3,A123,31,A141,A152,3,A173,1,A191,A201,1
A11,11,A34,A46,2537,A63,A75,2,A93,A101,4,A124,55,A143,A152,1,A172,1,A191,A201,1
A11,14,A33,A43,2049,A64,A75,4,A92,A101,4,A123,36,A142,A152,2,A173,1,A192,A202,1
A11,19,A34,A49,4281,A61,A75,2,A93,A101,4,A122,39,A143,A152,1,A173,1,A191,A201,1
A12,18,A32,A49,2398,A61,A71,1,A91,A102,3,A124,33,A143,A151,2,A173,1,A192,A201,1
A13,58,A33,A45,2066,A61,A75,4,A93,A102,3,A123,32,A142,A151,3,A174,1,A192,A201,1
A13,19,A31,A49,10754,A63,A75,1,A93,A101,2,A124,31,A141,A152,1,A172,1,A191,A201,1
A12,32,A31,A42,4348,A65,A74,4,A91,A101,3,A121,40,A142,A152,2,A171,1,A191,A201,1
A12,12,A34,A45,2303,A61,A75,2,A91,A101,4,A124,71,A143,A152,2,A171,1,A192,A201,1
A12,9,A34,A46,5717,A65,A71,4,A94,A103,3,A122,56,A143,A153,1,A173,1,A191,A201,2
A12,15,A34,A40,2752,A65,A71,4,A93,A101,4,A124,34,A143,A153,1,A173,1,A191,A201,1
A11,21,A33,A43,4842,A62,A72,2,A93,A103,4,A121,44,A143,A152,3,A174,1,A191,A201,2
A11,24,A34,A41,6479,A63,A75,4,A91,A101,4,A122,28,A143,A152,1,A172,1,A191,A201,1
A12,17,A34,A43,2881,A63,A74,4,A92,A102,3,A124,45,A143,A152,3,A174,1,A191,A201,1
A14,21,A30,A43,1347,A61,A75,1,A93,A101,4,A121,29,A141,A153,1,A171,1,A191,A201,1
A11,20,A32,A43,4485,A63,A74,4,A93,A101,4,A121,42,A143,A152,1,A173,1,A192,A201,1
A14,9,A31,A42,2679,A61,A71,4,A94,A101,3,A124,30,A142,A151,1,A172,1,A191,A202,2
A12,42,A32,A49,3686,A65,A75,3,A92,A101,4,A123,54,A142,A152,2,A173,2,A191,A201,1
A14,24,A31,A44,2970,A62,A73,2,A91,A101,2,A122,37,A143,A153,1,A173,1,A192,A202,2
A14,23,A32,A46,5626,A63,A73,1,A94,A101,4,A124,35,A141,A152,1,A171,2,A191,A201,2
A12,53,A33,A410,1966,A65,A71,4,A92,A103,4,A124,24,A143,A152,1,A173,1,A192,A202,1
A12,44,A30,A43,1416,A62,A73,3,A92,A102,4,A124,53,A141,A151,1,A171,1,A191,A201,1
A14,19,A34,A46,2472,A61,A75,3,A93,A101,2,A122,35,A143,A151,1,A173,1,A191,A201,1
A11,14,A34,A410,2342,A61,A72,2,A92,A101,2,A124,34,A143,A153,1,A174,1,A192,A202,2
A14,16,A33,A43,2604,A65,A73,3,A93,A101,2,A121,29,A141,A152,1,A172,2,A192,A201,1
A11,72,A34,A43,5796,A61,A75,4,A93,A101,2,A123,42,A143,A152,1,A173,1,A191,A201,1
A13,35,A30,A43,5194,A65,A75,4,A92,A103,3,A122,75,A142,A152,2,A173,1,A191,A201,2
A11,19,A31,A42,3534,A65,A75,3,A92,A101,4,A123,35,A141,A152,2,A174,1,A191,A201,1
A11,24,A32,A43,11047,A64,A75,4,A92,A101,2,A122,23,A143,A152,1,A174,2,A191,A201,2
A14,8,A32,A46,18424,A61,A75,3,A91,A101,4,A123,62,A143,A152,2,A171,1,A191,A201,2
A13,26,A32,A43,2702,A64,A72,4,A93,A101,4,A124,41,A141,A151,2,A173,1,A192,A201,1
A12,41,A34,A41,1314,A65,A75,3,A93,A102,4,A123,22,A143,A152,2,A171,1,A192,A201,1
A14,7,A34,A42,4819,A61,A73,1,A93,A101,4,A123,21,A143,A151,2,A172,1,A191,A201,1
A11,22,A34,A42,5407,A65,A73,4,A94,A101,3,A123,62,A143,A151,2,A172,1,A191,A201,1
A14,20,A32,A43,3138,A65,A71,1,A94,A101,4,A122,35,A143,A152,4,A171,1,A191,A201,2
A12,12,A32,A49,2671,A64,A73,2,A94,A101,3,A123,39,A143,A152,1,A171,2,A191,A201,1
A14,47,A32,A40,2671,A65,A74,2,A93,A101,4,A122,27,A141,A152,1,A173,1,A191,A201,1
A13,18,A34,A48,3289,A61,A73,3,A94,A101,4,A123,63,A141,A152,2,A173,1,A191,A201,1
A12,16,A32,A43,18424,A61,A73,4,A93,A101,3,A123,49,A143,A151,1,A174,2,A191,A201,1
A13,18,A34,A410,3959,A62,A75,2,A91,A101,2,A121,30,A143,A152,3,A173,1,A192,A201,1
A14,24,A32,A46,5697,A63,A73,2,A93,A101,4,A122,33,A143,A152,1,A172,1,A191,A201,1
A14,54,A34,A45,5958,A63,A75,4,A92,A101,4,A123,22,A141,A151,1,A171,1,A191,A201,1
A13,18,A32,A43,2799,A61,A74,4,A92,A101,4,A122,40,A143,A152,1,A173,2,A191,A201,2
A11,19,A33,A40,14923,A61,A75,4,A93,A101,2,A122,41,A143,A152,2,A173,2,A191,A201,1
A14,35,A32,A46,3020,A62,A72,4,A92,A101,2,A123,44,A142,A152,1,A172,1,A192,A201,2
A13,20,A32,A40,5584,A65,A74,4,A93,A101,4,A121,37,A141,A152,2,A171,1,A191,A201,2
A11,11,A32,A42,5531,A61,A71,3,A94,A103,2,A124,47,A143,A153,2,A173,1,A192,A201,1
A14,12,A32,A46,3074,A63,A74,3,A93,A101,2,A123,45,A142,A153,2,A172,1,A191,A201,2
A14,14,A32,A43,1167,A63,A73,1,A93,A101,4,A123,75,A143,A152,1,A173,1,A191,A201,1
A12,17,A34,A43,16207,A61,A72,4,A92,A101,1,A123,75,A143,A153,1,A172,2,A192,A201,1
A14,41,A33,A42,5774,A63,A74,2,A93,A103,4,A122,36,A141,A152,2,A171,1,A191,A201,1
A14,18,A34,A43,1800,A61,A73,2,A91,A103,4,A124,47,A141,A151,2,A173,1,A191,A201,2
A14,25,A32,A410,2456,A61,A73,1,A93,A101,3,A122,31,A141,A152,1,A171,1,A191,A201,1
A13,17,A30,A42,10507,A63,A73,2,A91,A101,2,A124,46,A141,A153,1,A174,1,A192,A201,1
A13,17,A34,A40,1202,A65,A73,4,A93,A101,2,A121,40,A143,A152,4,A172,2,A191,A201,2
A14,9,A33,A43,3693,A61,A73,2,A92,A101,2,A122,51,A143,A152,4,A173,1,A191,A201,1
A11,16,A32,A49,11507,A61,A72,4,A93,A101,1,A123,75,A142,A152,4,A173,1,A191,A201,1
A14,25,A33,A40,4370,A61,A74,4,A94,A101,4,A123,28,A142,A151,1,A172,1,A192,A201,1
A12,16,A32,A44,5166,A61,A75,1,A91,A102,2,A121,38,A143,A152,4,A173,1,A192,A201,1
A13,61,A34,A40,2710,A61,A75,3,A92,A101,2,A122,40,A143,A151,2,A173,1,A192,A201,1
A14,14,A34,A46,2557,A61,A72,4,A93,A102,2,A123,39,A143,A152,2,A174,2,A191,A202,2
A14,18,A30,A42,2384,A61,A73,1,A91,A102,1,A121,43,A142,A153,4,A172,1,A192,A201,1
A14,9,A34,A45,8787,A61,A71,1,A92,A103,2,A123,38,A141,A152,1,A174,1,A191,A201,1
A12,17,A32,A45,5847,A65,A73,3,A92,A101,1,A123,26,A143,A151,2,A173,1,A191,A201,2
A11,26,A32,A45,4621,A65,A75,2,A94,A101,4,A124,27,A141,A153,1,A172,1,A192,A201,2
A13,19,A33,A41,9948,A63,A74,3,A93,A101,2,A124,32,A143,A152,2,A172,1,A191,A201,1
A14,14,A32,A49,2815,A65,A73,1,A93,A101,3,A123,26,A141,A152,1,A171,1,A191,A201,1
A12,42,A34,A40,18424,A61,A73,2,A93,A101,1,A124,31,A143,A153,1,A174,1,A191,A201,2
A13,14,A34,A44,3089,A61,A72,2,A91,A102,4,A123,49,A142,A152,3,A174,1,A191,A201,2
A13,26,A30,A40,4219,A61,A73,2,A91,A101,2,A122,34,A143,A152,2,A172,1,A192,A202,1
A12,20,A30,A49,9054,A61,A75,4,A91,A101,4,A123,29,A143,A151,1,A173,1,A192,A201,1
A12,38,A34,A44,18424,A61,A74,4,A94,A101,4,A122,26,A143,A153,2,A174,2,A191,A202,1
A14,7,A34,A410,1539,A65,A71,4,A94,A101,4,A122,49,A143,A152,3,A172,1,A192,A202,1
A14,18,A32,A40,1901,A64,A75,2,A92,A103,2,A123,29,A142,A153,1,A172,1,A191,A201,2
A14,15,A32,A43,1540,A61,A73,1,A92,A101,1,A122,29,A142,A152,1,A173,1,A191,A201,1
A11,22,A32,A49,3030,A61,A75,4,A94,A101,2,A124,44,A141,A152,1,A173,1,A192,A201,2
A13,14,A33,A46,2216,A61,A74,4,A92,A101,4,A124,42,A141,A152,1,A173,2,A192,A201,1
A12,23,A30,A46,4612,A61,A74,2,A92,A103,4,A122,21,A142,A153,1,A173,1,A191,A202,1
A14,22,A34,A43,2732,A61,A75,2,A92,A102,1,A121,23,A143,A152,1,A173,1,A192,A201,1
A13,45,A32,A410,5401,A65,A73,4,A91,A102,4,A123,50,A143,A152,1,A173,1,A191,A201,1
A12,20,A33,A45,1013,A61,A74,3,A93,A101,3,A123,41,A143,A153,3,A174,2,A191,A201,2
A11,24,A32,A41,3071,A61,A75,4,A92,A102,3,A123,34,A143,A152,3,A173,1,A192,A201,1
A11,13,A32,A44,541,A63,A72,4,A91,A103,3,A121,31,A143,A152,1,A173,1,A191,A201,2
A11,12,A32,A43,9249,A65,A73,4,A92,A101,2,A121,46,A141,A152,1,A172,1,A191,A201,2
A14,12,A30,A48,5768,A61,A74,3,A93,A101,4,A123,45,A143,A151,2,A174,1,A191,A201,1
A11,20,A34,A43,2066,A61,A75,2,A91,A101,2,A123,43,A143,A152,1,A174,1,A191,A201,1
A13,25,A32,A42,2047,A61,A75,4,A92,A101,4,A123,34,A143,A152,2,A171,1,A192,A201,1
A14,20,A34,A40,2366,A62,A75,3,A93,A101,2,A122,39,A143,A153,1,A173,1,A192,A201,2
A14,23,A34,A43,7457,A61,A74,4,A94,A101,2,A123,38,A143,A152,2,A172,1,A191,A201,2
A13,58,A34,A43,2216,A65,A72,3,A93,A103,2,A123,52,A141,A153,1,A173,1,A192,A201,2
A14,18,A34,A49,2762,A61,A75,4,A93,A101,4,A123,52,A142,A152,1,A174,1,A191,A201,2
A14,13,A34,A40,2774,A61,A72,4,A94,A101,1,A121,33,A143,A152,4,A173,1,A191,A201,2
A12,18,A34,A410,1515,A61,A74,4,A94,A101,2,A122,34,A141,A152,1,A174,2,A191,A201,1
A14,58,A34,A46,5275,A61,A71,2,A92,A101,2,A123,25,A143,A151,3,A173,1,A191,A201,2
A12,25,A34,A43,3132,A61,A71,4,A93,A101,4,A121,56,A143,A151,4,A173,1,A192,A201,2
A12,20,A33,A44,2047,A61,A74,3,A94,A101,2,A123,27,A143,A152,1,A171,1,A192,A201,1
A14,43,A32,A43,2336,A63,A74,3,A93,A103,2,A123,45,A142,A152,2,A174,1,A191,A201,2
A14,35,A33,A410,2452,A61,A73,4,A92,A101,2,A123,66,A143,A152,2,A174,1,A192,A201,1
A13,26,A32,A44,15410,A61,A74,4,A92,A102,2,A123,54,A143,A152,1,A171,1,A191,A202,1
A12,20,A32,A43,5279,A61,A73,4,A93,A101,1,A124,48,A143,A153,1,A173,2,A191,A201,1
A14,6,A34,A43,1485,A61,A72,3,A93,A103,4,A123,58,A142,A153,1,A174,1,A192,A201,1
A14,21,A34,A43,4150,A63,A73,4,A94,A101,1,A121,34,A143,A152,3,A171,1,A191,A201,1
A11,23,A32,A40,2340,A61,A75,3,A93,A101,2,A124,44,A141,A152,1,A173,1,A191,A201,1
A11,17,A32,A43,1939,A61,A72,2,A93,A101,4,A124,31,A143,A151,1,A173,1,A191,A201,1
A14,22,A34,A46,10475,A61,A72,1,A93,A101,2,A122,25,A143,A152,3,A173,1,A191,A201,1
A12,20,A32,A49,18424,A64,A74,4,A93,A101,4,A123,66,A142,A151,4,A172,1,A191,A201,1
A12,22,A31,A42,2209,A61,A75,1,A93,A101,4,A123,27,A143,A152,2,A172,1,A191,A201,2
A11,15,A32,A48,2314,A61,A73,1,A93,A101,2,A121,75,A142,A152,1,A172,1,A191,A201,1
A11,13,A34,A43,8448,A61,A74,4,A93,A101,1,A123,29,A143,A152,1,A172,2,A191,A201,2
A14,15,A34,A42,3641,A61,A75,2,A93,A102,2,A121,59,A142,A152,1,A173,1,A192,A201,1
A12,18,A32,A46,2212,A65,A75,4,A93,A101,2,A121,30,A143,A152,1,A173,1,A191,A201,1
A14,19,A31,A48,2228,A61,A73,2,A93,A103,2,A123,40,A143,A152,1,A173,1,A191,A201,1
A14,11,A33,A43,1719,A63,A73,2,A93,A101,2,A123,34,A143,A151,2,A173,1,A191,A201,2
A11,25,A32,A43,4499,A61,A72,3,A93,A101,4,A121,32,A141,A152,1,A172,2,A191,A201,1
A11,15,A33,A41,3545,A62,A75,4,A91,A101,3,A124,33,A143,A152,2,A171,1,A191,A201,2
A12,25,A33,A41,4399,A65,A73,2,A93,A103,2,A122,34,A143,A153,4,A171,2,A191,A201,1
A14,11,A33,A42,14389,A65,A72,3,A93,A101,2,A122,45,A143,A152,3,A173,1,A191,A201,2
A12,24,A34,A43,1697,A61,A73,2,A92,A101,2,A124,67,A142,A151,1,A174,1,A192,A201,1
A14,9,A33,A43,5167,A64,A74,1,A93,A101,2,A124,25,A143,A152,1,A173,1,A191,A202,2
A13,16,A32,A42,18160,A62,A72,4,A93,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,1
A12,18,A34,A49,11020,A61,A74,4,A92,A103,2,A123,52,A143,A152,1,A173,1,A191,A201,1
A14,21,A34,A41,5215,A61,A71,3,A93,A101,4,A123,58,A141,A152,3,A172,1,A192,A201,2
A13,18,A32,A45,2556,A61,A71,4,A92,A101,2,A124,70,A143,A152,4,A174,1,A191,A201,1
A12,11,A31,A42,18424,A62,A73,3,A91,A101,4,A123,62,A143,A151,1,A174,2,A192,A201,1
A13,16,A34,A44,3950,A65,A74,4,A94,A102,4,A123,35,A142,A152,1,A173,1,A191,A201,1
A13,11,A34,A44,15710,A65,A74,2,A92,A101,4,A122,47,A143,A152,1,A171,1,A192,A201,1
A11,17,A34,A48,2922,A61,A75,2,A93,A101,4,A122,53,A142,A151,1,A174,1,A191,A201,1
A13,58,A34,A48,5231,A65,A72,2,A93,A101,2,A121,75,A143,A152,1,A173,1,A192,A201,1
A11,19,A32,A41,4134,A65,A75,4,A93,A101,4,A124,28,A141,A152,1,A174,1,A192,A201,2
A11,46,A34,A43,4064,A64,A73,2,A93,A101,2,A123,28,A143,A152,4,A172,1,A191,A201,1
A12,26,A34,A44,4241,A61,A73,2,A93,A101,2,A123,51,A142,A152,1,A172,1,A191,A201,1
A14,18,A34,A46,2865,A63,A72,4,A92,A101,4,A123,32,A143,A152,1,A173,1,A191,A201,1
A14,18,A32,A42,4921,A61,A75,1,A93,A101,2,A124,29,A143,A153,1,A171,1,A192,A201,1
A14,24,A33,A43,3853,A61,A74,4,A93,A103,2,A123,40,A141,A152,1,A171,1,A192,A202,1
A12,21,A32,A40,3566,A61,A75,2,A93,A101,2,A124,35,A142,A152,1,A171,1,A191,A201,1
A11,24,A32,A45,2474,A62,A71,1,A92,A101,4,A122,38,A142,A152,2,A171,1,A192,A201,1
A14,18,A33,A41,6551,A61,A73,3,A93,A103,4,A124,33,A143,A152,3,A173,2,A192,A201,1
A12,22,A34,A43,11813,A64,A72,2,A92,A101,1,A123,39,A143,A152,1,A173,1,A192,A201,2
A14,21,A34,A46,2675,A65,A74,1,A92,A101,4,A122,43,A142,A152,3,A173,1,A191,A201,1
A11,13,A34,A44,5896,A62,A73,4,A92,A103,3,A121,24,A143,A153,1,A173,1,A191,A201,1
A13,19,A34,A42,3055,A65,A73,2,A93,A101,2,A124,24,A142,A152,3,A173,1,A192,A201,2
A14,17,A32,A45,4189,A61,A74,1,A92,A101,4,A123,42,A143,A153,1,A173,1,A191,A201,2
A11,70,A32,A45,8554,A61,A72,4,A91,A101,2,A121,33,A143,A153,3,A172,1,A191,A202,2
A14,13,A32,A41,2525,A63,A75,4,A92,A101,4,A121,44,A143,A152,3,A173,1,A192,A201,2
A11,17,A31,A45,4980,A65,A74,3,A93,A101,4,A124,33,A143,A153,2,A173,2,A192,A201,2
A12,17,A32,A44,5863,A61,A72,3,A94,A102,4,A123,27,A141,A152,2,A173,1,A191,A201,1
A13,14,A34,A41,2605,A65,A72,2,A94,A101,2,A123,20,A143,A151,1,A173,1,A191,A201,2
A14,26,A32,A46,5281,A61,A72,4,A93,A101,2,A123,48,A141,A152,1,A172,1,A191,A202,2
A13,5,A34,A42,2553,A64,A73,2,A93,A101,4,A123,36,A141,A153,1,A171,1,A191,A201,1
A11,40,A34,A40,2018,A63,A73,2,A92,A101,2,A122,32,A143,A151,1,A173,1,A191,A201,1
A12,34,A32,A49,2521,A61,A75,4,A94,A101,3,A124,29,A141,A152,4,A173,1,A191,A201,1
A14,20,A33,A49,1739,A65,A73,4,A93,A101,4,A121,75,A143,A152,3,A173,1,A192,A201,2
A11,15,A32,A44,5475,A61,A73,3,A92,A102,4,A121,23,A143,A152,1,A173,2,A191,A201,1
A11,25,A33,A410,6364,A61,A73,3,A93,A103,3,A123,40,A142,A151,2,A173,2,A191,A202,1
A14,17,A34,A410,2819,A64,A71,2,A92,A101,2,A123,24,A143,A152,3,A174,1,A191,A202,1
A13,24,A33,A46,5181,A61,A75,1,A93,A102,1,A121,27,A143,A151,2,A173,1,A191,A201,2
A14,16,A30,A46,2226,A61,A73,1,A92,A101,3,A124,62,A143,A153,1,A174,1,A192,A201,2
A12,24,A30,A45,2964,A62,A74,2,A92,A101,2,A123,50,A142,A152,1,A173,1,A192,A201,1
A14,20,A34,A46,4742,A62,A74,4,A92,A101,2,A123,75,A143,A151,1,A171,1,A191,A201,1
A12,11,A34,A42,4806,A63,A73,2,A92,A102,2,A123,31,A143,A152,3,A173,1,A192,A201,1
A12,20,A34,A42,2475,A61,A74,4,A91,A101,3,A123,33,A143,A152,1,A171,1,A192,A201,2
A12,16,A32,A45,18424,A61,A71,3,A94,A103,2,A123,31,A142,A152,3,A173,1,A191,A201,1
A12,19,A32,A48,2814,A65,A73,4,A93,A101,2,A123,37,A143,A152,1,A173,1,A191,A201,2
A12,10,A34,A42,1910,A61,A73,4,A91,A101,4,A123,59,A143,A151,1,A173,1,A192,A201,1
A14,13,A31,A45,1793,A61,A75,1,A93,A101,4,A121,35,A141,A152,2,A171,1,A191,A201,2
A14,15,A32,A46,5508,A61,A74,4,A94,A103,3,A124,29,A143,A152,4,A174,1,A191,A201,1
A13,25,A34,A40,2726,A63,A75,1,A93,A101,2,A124,51,A143,A151,1,A174,2,A191,A201,1
